BiLSTMModel(
  (lstm): LSTM(100, 256, bidirectional=True)
  (attention_weights_layer): Sequential(
    (0): Linear(in_features=256, out_features=256, bias=True)
    (1): ReLU(inplace=True)
  )
  (liner): Linear(in_features=256, out_features=21, bias=True)
  (act_func): Softmax(dim=1)
)
Train Loss: 0.0017939128810110629, Train Acc: 0.6177761521580103
Test Loss: 0.10688983343140877, Test Acc: 0.6322722283205269
Train Loss: 0.0016920441419605626, Train Acc: 0.6324067300658376
Test Loss: 0.10703350246999449, Test Acc: 0.6322722283205269
Train Loss: 0.0016856035946622415, Train Acc: 0.6327724945135332
Test Loss: 0.10655816866884378, Test Acc: 0.6322722283205269
Train Loss: 0.0015614998895448755, Train Acc: 0.6430138990490124
Test Loss: 0.09058326433702044, Test Acc: 0.7113062568605928
Train Loss: 0.0011537938808644872, Train Acc: 0.7549378200438918
Test Loss: 0.07445894146560968, Test Acc: 0.7574094401756312
Train Loss: 0.0009665824854426255, Train Acc: 0.7776152158010241
Test Loss: 0.07478980284131058, Test Acc: 0.7574094401756312
Train Loss: 0.0008295781831389896, Train Acc: 0.8046817849305048
Test Loss: 0.07373984710903252, Test Acc: 0.7672886937431395
Train Loss: 0.0007403548125616373, Train Acc: 0.825164594001463
Test Loss: 0.07224440452377962, Test Acc: 0.7650933040614709
Train Loss: 0.0006444190854333401, Train Acc: 0.846013167520117
Test Loss: 0.07299599715566792, Test Acc: 0.7738748627881449
Train Loss: 0.0005647542184026641, Train Acc: 0.8621068032187271
Test Loss: 0.07446246310397901, Test Acc: 0.7585071350164654
Train Loss: 0.0005116749196514301, Train Acc: 0.8723482077542063
Test Loss: 0.07763889101543489, Test Acc: 0.756311745334797
Train Loss: 0.00046338514719858776, Train Acc: 0.8855157278712509
Test Loss: 0.07534150807054062, Test Acc: 0.7760702524698134
Train Loss: 0.00042200393582358356, Train Acc: 0.89575713240673
Test Loss: 0.0770400336705369, Test Acc: 0.7530186608122942
Train Loss: 0.0003841455621152964, Train Acc: 0.902706656912948
Test Loss: 0.08377136362861723, Test Acc: 0.7628979143798024
Train Loss: 0.0003573162002242344, Train Acc: 0.9129480614484272
Test Loss: 0.08690175189586555, Test Acc: 0.7398463227222832
Train Loss: 0.00032441219248166466, Train Acc: 0.9144111192392099
Test Loss: 0.08906237943799253, Test Acc: 0.7628979143798024
Train Loss: 0.0003051975029694419, Train Acc: 0.9191660570592538
Test Loss: 0.0893165794263556, Test Acc: 0.7508232711306256
Train Loss: 0.00030532526755031, Train Acc: 0.9151426481346013
Test Loss: 0.090846033392701, Test Acc: 0.7552140504939627
Train Loss: 0.0002688350078963893, Train Acc: 0.9191660570592538
Test Loss: 0.09513506952481003, Test Acc: 0.7596048298572997
Train Loss: 0.0002555153736314616, Train Acc: 0.9231894659839064
Test Loss: 0.09498137543969568, Test Acc: 0.7574094401756312
Train Loss: 0.0002762110317609632, Train Acc: 0.9231894659839064
Test Loss: 0.09348454597405068, Test Acc: 0.7639956092206367
Train Loss: 0.00024904599757326855, Train Acc: 0.9253840526700805
Test Loss: 0.09754446129244063, Test Acc: 0.756311745334797
Train Loss: 0.000227407862288549, Train Acc: 0.9279444038039503
Test Loss: 0.09849944574969006, Test Acc: 0.7618002195389681
Train Loss: 0.00021692883375222744, Train Acc: 0.923555230431602
Test Loss: 0.10280658653093876, Test Acc: 0.7552140504939627
Train Loss: 0.00020805254076820769, Train Acc: 0.9206291148500366
Test Loss: 0.10640714320013735, Test Acc: 0.7552140504939627
Train Loss: 0.00019896116592099, Train Acc: 0.9246525237746891
Test Loss: 0.10947180466172331, Test Acc: 0.7650933040614709
Train Loss: 0.00019657998717095002, Train Acc: 0.9279444038039503
Test Loss: 0.11150103267670725, Test Acc: 0.756311745334797
Train Loss: 0.00019414040352672273, Train Acc: 0.9316020482809071
Test Loss: 0.10851929465188154, Test Acc: 0.7628979143798024
Train Loss: 0.00019993811189016462, Train Acc: 0.9246525237746891
Test Loss: 0.10494707407006579, Test Acc: 0.7672886937431395
Train Loss: 0.00020681482899168285, Train Acc: 0.9246525237746891
Test Loss: 0.10667227875977002, Test Acc: 0.7343578485181119
Train Loss: 0.0001939241231051931, Train Acc: 0.9286759326993417
Test Loss: 0.10571912335054019, Test Acc: 0.7497255762897914
Train Loss: 0.00018195851834391428, Train Acc: 0.9297732260424286
Test Loss: 0.11108724801145846, Test Acc: 0.75192096597146
Train Loss: 0.00017298546949457363, Train Acc: 0.9312362838332114
Test Loss: 0.1154982296751994, Test Acc: 0.7585071350164654
Train Loss: 0.00017098934085114473, Train Acc: 0.93050475493782
Test Loss: 0.11889609014850547, Test Acc: 0.7497255762897914
Train Loss: 0.00017328859455392976, Train Acc: 0.9312362838332114
Test Loss: 0.12034986517366542, Test Acc: 0.7508232711306256
Train Loss: 0.00017060807539216884, Train Acc: 0.929407461594733
Test Loss: 0.12009263368227348, Test Acc: 0.75192096597146
Train Loss: 0.0001640882481525883, Train Acc: 0.9319678127286027
Test Loss: 0.12302785856663592, Test Acc: 0.747530186608123
Train Loss: 0.0001671384427636513, Train Acc: 0.9352596927578639
Test Loss: 0.1255131986904092, Test Acc: 0.7530186608122942
Train Loss: 0.00016475908084205012, Train Acc: 0.93050475493782
Test Loss: 0.12696352210938602, Test Acc: 0.747530186608123
Train Loss: 0.00016439731754689602, Train Acc: 0.9301389904901244
Test Loss: 0.126794865917165, Test Acc: 0.7552140504939627
Train Loss: 0.00017038523032171236, Train Acc: 0.9275786393562546
Test Loss: 0.1272910144486752, Test Acc: 0.7508232711306256
Train Loss: 0.0001623634624192062, Train Acc: 0.9290416971470373
Test Loss: 0.1289003207772545, Test Acc: 0.7508232711306256
Train Loss: 0.00016390637991283615, Train Acc: 0.9323335771762985
Test Loss: 0.13018510772812902, Test Acc: 0.7541163556531284
Train Loss: 0.00016687806222544222, Train Acc: 0.9290416971470373
Test Loss: 0.12894976817063258, Test Acc: 0.743139407244786
Train Loss: 0.00016682124371356286, Train Acc: 0.9279444038039503
Test Loss: 0.13222109505540716, Test Acc: 0.747530186608123
Train Loss: 0.00016622537376233747, Train Acc: 0.9316020482809071
Test Loss: 0.13209366777136872, Test Acc: 0.7453347969264544
Train Loss: 0.00026966039269846464, Train Acc: 0.9140453547915143
Test Loss: 0.10455102410523219, Test Acc: 0.7574094401756312
Train Loss: 0.00025513806740052307, Train Acc: 0.9198975859546452
Test Loss: 0.09828207305705115, Test Acc: 0.747530186608123
Train Loss: 0.00019397034143569833, Train Acc: 0.9316020482809071
Test Loss: 0.10461670379476411, Test Acc: 0.7628979143798024
Train Loss: 0.00017524022827348682, Train Acc: 0.9301389904901244
Test Loss: 0.11066336753143306, Test Acc: 0.7574094401756312
