BiLSTMModel(
  (lstm): LSTM(100, 256, bidirectional=True)
  (attention_weights_layer): Sequential(
    (0): Linear(in_features=256, out_features=256, bias=True)
    (1): ReLU(inplace=True)
  )
  (liner): Linear(in_features=256, out_features=11, bias=True)
  (act_func): Softmax(dim=1)
)
Train Loss: 0.0017293976684454784, Train Acc: 0.8385413821360284
Test Loss: 0.10886887233847804, Test Acc: 0.8385413821360284
Train Loss: 0.0011114984330495047, Train Acc: 0.8718109806063917
Test Loss: 0.06300710193025255, Test Acc: 0.8858781753619229
Train Loss: 0.0008527961806034198, Train Acc: 0.8971592461076209
Test Loss: 0.04879337114833216, Test Acc: 0.9025949194209233
Train Loss: 0.0006934426224779575, Train Acc: 0.913684785577711
Test Loss: 0.03976068986902597, Test Acc: 0.9195301830101066
BiLSTMModel(
  (lstm): LSTM(100, 256, bidirectional=True)
  (attention_weights_layer): Sequential(
    (0): Linear(in_features=256, out_features=256, bias=True)
    (1): ReLU(inplace=True)
  )
  (liner): Linear(in_features=256, out_features=11, bias=True)
  (act_func): Softmax(dim=1)
)
Train Loss: 0.001729407829604687, Train Acc: 0.8385413821360284
Test Loss: 0.10888554036619315, Test Acc: 0.8385413821360284
Train Loss: 0.0010601867066899289, Train Acc: 0.8775198033324229
Test Loss: 0.05833530769716746, Test Acc: 0.895356459983611
Train Loss: 0.0008038926474435616, Train Acc: 0.9039060366020213
Test Loss: 0.04384712389309333, Test Acc: 0.9180824911226441
Train Loss: 0.0006296861360937854, Train Acc: 0.9231357552581262
Test Loss: 0.03414444686942631, Test Acc: 0.9349084949467359
Train Loss: 0.00047308246571264347, Train Acc: 0.9401256487298553
Test Loss: 0.02438164828052631, Test Acc: 0.9527724665391969
Train Loss: 0.00035674028453282675, Train Acc: 0.953428025129746
Test Loss: 0.018285467179997208, Test Acc: 0.964900300464354
Train Loss: 0.0002881835166459541, Train Acc: 0.9635345534007101
Test Loss: 0.015057131287319257, Test Acc: 0.9703359737776563
Train Loss: 0.0002406236102176643, Train Acc: 0.9686151324774652
Test Loss: 0.012284117261729692, Test Acc: 0.9759082217973232
Train Loss: 0.00020649910573831374, Train Acc: 0.9724938541382137
Test Loss: 0.010625407898375534, Test Acc: 0.9789674952198852
Train Loss: 0.00018557762159318573, Train Acc: 0.9734498770827643
Test Loss: 0.009788277140345115, Test Acc: 0.9797323135755258
Train Loss: 0.00015559411193408242, Train Acc: 0.9781207320404262
Test Loss: 0.008494395095464922, Test Acc: 0.9831193662933625
Train Loss: 0.00014949208238268294, Train Acc: 0.9785577711007921
Test Loss: 0.008058686949627114, Test Acc: 0.983228626058454
Train Loss: 0.0001437014033122467, Train Acc: 0.979704998634253
Test Loss: 0.006830054330428954, Test Acc: 0.9854684512428298
Train Loss: 0.00014293535958621441, Train Acc: 0.9798688882818902
Test Loss: 0.007077788441116676, Test Acc: 0.9844577984157334
Train Loss: 0.00012195828360727373, Train Acc: 0.981453154875717
Test Loss: 0.006177667912831935, Test Acc: 0.9859874351270145
Train Loss: 0.0001193403996251595, Train Acc: 0.9820813985249932
Test Loss: 0.006161702677800364, Test Acc: 0.9864244741873806
Train Loss: 0.00012551693571956425, Train Acc: 0.9814258399344441
Test Loss: 0.00642113581916531, Test Acc: 0.9855777110079214
Train Loss: 0.00012079953586476016, Train Acc: 0.9816170445233543
Test Loss: 0.005661633901096529, Test Acc: 0.987407812073204
Train Loss: 0.00012229137637934226, Train Acc: 0.9813985249931713
Test Loss: 0.006917112688253019, Test Acc: 0.9845943731220977
Train Loss: 0.00011898665272606457, Train Acc: 0.9821906582900847
Test Loss: 0.005965009874593368, Test Acc: 0.9861513247746517
Train Loss: 0.00011014820510809056, Train Acc: 0.9831739961759082
Test Loss: 0.005768294947313487, Test Acc: 0.9865610488937449
Train Loss: 0.0001139066406932044, Train Acc: 0.9821906582900847
Test Loss: 0.005636161648762727, Test Acc: 0.9868615132477465
Train Loss: 0.00010972203592705028, Train Acc: 0.982791586998088
Test Loss: 0.005568312693995771, Test Acc: 0.9866429937175635
Train Loss: 0.00011286129349041116, Train Acc: 0.982108713466266
Test Loss: 0.005532044910877573, Test Acc: 0.986752253482655
Train Loss: 0.00010965145006818785, Train Acc: 0.9826003824091778
Test Loss: 0.005868503875848302, Test Acc: 0.9862332695984704
Train Loss: 9.91946482811289e-05, Train Acc: 0.9836383501775471
Test Loss: 0.004847910347672105, Test Acc: 0.9881726304288446
Train Loss: 9.862422590331654e-05, Train Acc: 0.9833378858235455
