BiLSTMModel(
  (lstm): LSTM(100, 256, bidirectional=True)
  (attention_weights_layer): Sequential(
    (0): Linear(in_features=256, out_features=256, bias=True)
    (1): ReLU(inplace=True)
  )
  (liner): Linear(in_features=256, out_features=54, bias=True)
  (act_func): Softmax(dim=1)
)
Train Loss: 0.0006046384861272363, Train Acc: 0.7049095069690036
Test Loss: 0.036412209411908626, Test Acc: 0.7094257178526842
Train Loss: 0.0005708748036083001, Train Acc: 0.7094861660079052
Test Loss: 0.0363888597713502, Test Acc: 0.7094257178526842
Train Loss: 0.0005741340838820641, Train Acc: 0.7094861660079052
Test Loss: 0.036348255437225585, Test Acc: 0.7094257178526842
Train Loss: 0.0005677120063770876, Train Acc: 0.7094861660079052
Test Loss: 0.03523972700611594, Test Acc: 0.7094257178526842
Train Loss: 0.00048025604870247074, Train Acc: 0.7294570418140213
Test Loss: 0.02945658454459891, Test Acc: 0.7556179775280899
Train Loss: 0.00040864657253392747, Train Acc: 0.766798418972332
Test Loss: 0.027180225856964953, Test Acc: 0.7634207240948814
Train Loss: 0.0003600365952872451, Train Acc: 0.7807364260453505
Test Loss: 0.026523072564958148, Test Acc: 0.7681023720349563
Train Loss: 0.0003152602699583128, Train Acc: 0.7995631370917412
Test Loss: 0.027190436835815845, Test Acc: 0.7699750312109863
Train Loss: 0.0002863649483762382, Train Acc: 0.8130850842521323
Test Loss: 0.028491439655906847, Test Acc: 0.7528089887640449
Train Loss: 0.00025910721567331727, Train Acc: 0.8291033908882879
Test Loss: 0.028525187625792738, Test Acc: 0.7587390761548065
Train Loss: 0.00023399177205963716, Train Acc: 0.8477220719783649
Test Loss: 0.030993360764032432, Test Acc: 0.7677902621722846
Train Loss: 0.00021107006702875895, Train Acc: 0.8637403786145205
Test Loss: 0.03231895034121217, Test Acc: 0.7740324594257179
Train Loss: 0.00019203254775558188, Train Acc: 0.8764302059496567
Test Loss: 0.03285147083665101, Test Acc: 0.7677902621722846
Train Loss: 0.00017119095266382233, Train Acc: 0.8930726024547535
Test Loss: 0.035324869121653904, Test Acc: 0.7584269662921348
Train Loss: 0.00015878182845830487, Train Acc: 0.8996255460786353
Test Loss: 0.0336541580239755, Test Acc: 0.7718476903870163
Train Loss: 0.0001533892578458937, Train Acc: 0.9024339504888704
Test Loss: 0.036222660735007677, Test Acc: 0.7540574282147315
Train Loss: 0.00013500463479728015, Train Acc: 0.9161639276055752
Test Loss: 0.03445800449629401, Test Acc: 0.7705992509363296
Train Loss: 0.00012483426097590405, Train Acc: 0.9215727064697317
Test Loss: 0.03438625479124012, Test Acc: 0.7765293383270911
Train Loss: 0.00010115999323227766, Train Acc: 0.9359267734553776
Test Loss: 0.03761850250943025, Test Acc: 0.7924469413233458
Train Loss: 8.506795037568812e-05, Train Acc: 0.9476804659871021
Test Loss: 0.03790666133202566, Test Acc: 0.7824594257178527
Train Loss: 8.041697548429569e-05, Train Acc: 0.9501768254628666
Test Loss: 0.03863685243250279, Test Acc: 0.7908863920099876
Train Loss: 8.170497272413945e-05, Train Acc: 0.9514250052007489
Test Loss: 0.03912758146210724, Test Acc: 0.7946317103620475
Train Loss: 6.776041513179462e-05, Train Acc: 0.9603702933222384
Test Loss: 0.03841438419307662, Test Acc: 0.7940074906367042
Train Loss: 6.0688630563305976e-05, Train Acc: 0.9665071770334929
Test Loss: 0.03835758180840036, Test Acc: 0.7918227215980025
Train Loss: 5.239512155947946e-05, Train Acc: 0.971395881006865
Test Loss: 0.04139761427085802, Test Acc: 0.798689138576779
Train Loss: 4.284039359309895e-05, Train Acc: 0.9777407946744331
Test Loss: 0.03861996303597342, Test Acc: 0.7709113607990012
Train Loss: 3.727534064385989e-05, Train Acc: 0.9799251092157271
Test Loss: 0.04155675890610162, Test Acc: 0.8086766541822722
Train Loss: 3.186189843732185e-05, Train Acc: 0.9842937382983149
Test Loss: 0.042453198815776166, Test Acc: 0.8043071161048689
Train Loss: 2.9839752323341167e-05, Train Acc: 0.9862700228832952
Test Loss: 0.041373816233932895, Test Acc: 0.8014981273408239
Train Loss: 3.368982343994851e-05, Train Acc: 0.9833576034949033
Test Loss: 0.04190756548001325, Test Acc: 0.8093008739076155
Train Loss: 2.2315342997723698e-05, Train Acc: 0.9895985021843146
Test Loss: 0.041721339301484056, Test Acc: 0.8064918851435705
Train Loss: 2.0597011388070933e-05, Train Acc: 0.9910547118785105
Test Loss: 0.042858224699039986, Test Acc: 0.8102372034956304
Train Loss: 1.4396457967878236e-05, Train Acc: 0.9944872061576867
Test Loss: 0.044817187603604924, Test Acc: 0.8077403245942572
Train Loss: 1.6412629547780254e-05, Train Acc: 0.9937591013105888
Test Loss: 0.04383176280076286, Test Acc: 0.8027465667915106
Train Loss: 2.3162437160162765e-05, Train Acc: 0.9901185770750988
Test Loss: 0.04586696479650919, Test Acc: 0.8077403245942572
Train Loss: 1.9741046655706038e-05, Train Acc: 0.9917828167256085
Test Loss: 0.039823531211538706, Test Acc: 0.802434456928839
Train Loss: 1.3209807656677335e-05, Train Acc: 0.9943831911795299
Test Loss: 0.04453243322927194, Test Acc: 0.8136704119850188
Train Loss: 9.945430507295882e-06, Train Acc: 0.9955273559392552
Test Loss: 0.04435469144106507, Test Acc: 0.799625468164794
Train Loss: 8.177765188974888e-06, Train Acc: 0.9961514458081964
Test Loss: 0.047207144739682703, Test Acc: 0.8108614232209738
Train Loss: 1.659686198211574e-05, Train Acc: 0.992822966507177
Test Loss: 0.04690710419900812, Test Acc: 0.7965043695380774
Train Loss: 1.3977496479101737e-05, Train Acc: 0.9930309964634907
Test Loss: 0.04618480468701371, Test Acc: 0.8068039950062422
Train Loss: 2.994078247991758e-05, Train Acc: 0.9837736634075307
Test Loss: 0.03924099499478613, Test Acc: 0.785892634207241
Train Loss: 1.409646055737743e-05, Train Acc: 0.9938631162887456
Test Loss: 0.040763664851139546, Test Acc: 0.7908863920099876
Train Loss: 1.243423717965567e-05, Train Acc: 0.9944872061576867
Test Loss: 0.04076290357581511, Test Acc: 0.797752808988764
Train Loss: 7.0008547526499635e-06, Train Acc: 0.9965675057208238
Test Loss: 0.04382765268937181, Test Acc: 0.8033707865168539
Train Loss: 6.425132171873655e-06, Train Acc: 0.9962554607863532
Test Loss: 0.0458198000843196, Test Acc: 0.8014981273408239
Train Loss: 6.17313799901004e-06, Train Acc: 0.9966715206989807
Test Loss: 0.046626246794878035, Test Acc: 0.802434456928839
Train Loss: 5.156545576928895e-06, Train Acc: 0.9971915955897649
Test Loss: 0.04785876778308587, Test Acc: 0.802434456928839
Train Loss: 5.746318118701976e-06, Train Acc: 0.9967755356771375
Test Loss: 0.04758796008623113, Test Acc: 0.8021223470661673
Train Loss: 9.254995558266556e-06, Train Acc: 0.9946952361140005
Test Loss: 0.04811417639543873, Test Acc: 0.8043071161048689
